Countries,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003
Peru,8.503606232556324,8.504436287921557,8.505107619526449,8.505341722987371,8.504744422971074,8.502884415693472,8.499422056147422,8.494154128084489,8.487011182888232,8.478037672657248,8.467243241273142,8.45462124238962,8.440274815944095,8.424488988496272,8.407734441632005,8.390349968443832,8.372593106069202,8.354682896900496,8.337052498928859,8.320558355782914,8.306237079230632,8.29491481702728,8.287069628334857,8.282850700529723,8.282031089243153,8.284073496099268,8.28835994578208,8.29432690859901,8.301474273264548,8.309459374920635,8.318018038588903,8.326941056751316,8.336083953679399,8.34530901523063
Philippines,7.849526276492607,7.872939680095201,7.896215429721467,7.9190865628219855,7.941195708718719,7.962205857720774,7.981720810857453,7.999341012262917,8.014764079572457,8.02781485980801,8.03842701414905,8.046604572367919,8.052504599601255,8.056483111405916,8.059028693668965,8.060766417327672,8.062351717498379,8.064243237855639,8.066782891192485,8.070144934118726,8.0744235941086,8.079687475304745,8.086003244457187,8.093405812846392,8.101866714212774,8.111266887991249,8.121479075866876,8.13233230117404,8.143636001994699,8.15528065524041,8.167064728011264,8.178769368504252,8.190381749651854,8.20194434905546
Poland,8.418849787172393,8.453864039986495,8.488501909086144,8.522079442279432,8.553737777133406,8.582601349815931,8.607867190049996,8.628948842903908,8.645610613721546,8.658046056496637,8.666882222076929,8.673081093010833,8.677782875132479,8.682045017095124,8.686581986826907,8.691850275655705,8.698138885648888,8.705688120772075,8.71476552330346,8.725689214872087,8.738876268360952,8.754797046444677,8.773780378725867,8.795929285110107,8.821121759888754,8.84904955997168,8.879255521753816,8.911218704108126,8.944417671627368,8.978402754107591,9.01282153071078,9.047437047989948,9.08213228931453,9.11685742924759
Portugal,8.921429097949082,8.949218695577882,8.97683453843582,9.004026238885514,9.030569943884784,9.056451864050313,9.081840973542548,9.106835796749655,9.131532630438993,9.156080300414919,9.180625714919776,9.205339210336472,9.230454579314985,9.256244330502572,9.28300056502829,9.310941375675059,9.340074433241599,9.370189147534907,9.400925666444357,9.431851481239999,9.462573610593061,9.492784047119091,9.522316852362033,9.551147438341856,9.579340258270728,9.606949427522322,9.634028431607405,9.660598881327445,9.686662131803553,9.712215885595914,9.737286526173303,9.761946743770247,9.78632550845331,9.810578769714983
Puerto.Rico,9.049918124918824,9.070858192237658,9.091767933305725,9.112661744998867,9.13369027961931,9.155098183553328,9.176973899837611,9.199253846025904,9.221903408377758,9.244978091153154,9.268719649236129,9.29346972492087,9.319598190545006,9.347370187914645,9.376818367454554,9.407839815125087,9.440151909662946,9.473407435847545,9.507214620116873,9.541205256478685,9.575102026673527,9.608759427742653,9.642153564686078,9.675348316896061,9.708447559393656,9.741591705213716,9.774956204280498,9.808628141047578,9.842577123075309,9.876727282282177,9.910969938242577,9.945178910664447,9.979356307735662,10.013522939595848
Qatar,11.318101913290075,11.27437032397221,11.230120293298365,11.184620100952625,11.137061881811853,11.086866489329278,11.033979141067654,10.978424439381927,10.920354191208595,10.859994564769432,10.79779845245147,10.734514621746417,10.671063167541021,10.608559410259284,10.548197458303134,10.491102845288296,10.438321862524294,10.390658175146076,10.348711105049759,10.312830667669326,10.28317640615065,10.25984635989915,10.242895723241471,10.232241128273682,10.227835469624562,10.229545923876195,10.237049991518369,10.24972020374877,10.266491754455775,10.28622901239336,10.307978639563007,10.331014399940534,10.354794119885995,10.378867539439609
Romania,7.882173304461766,7.959155101902624,8.03586291720483,8.111821963580795,8.18638080474659,8.25894283700869,8.328657188659061,8.39446105521286,8.4553545592676,8.510372485395566,8.55877930583874,8.600050370412928,8.633852204210386,8.660026717953704,8.678561630852661,8.689632031902839,8.693696144684512,8.691449515910826,8.683856993946435,8.672171054884425,8.65791130273982,8.64267012355476,8.627987756644826,8.615047146968793,8.60449687707212,8.596522586956581,8.590990042957605,8.58768220122572,8.586444214151687,8.587082027582305,8.589299893221044,8.592699582964302,8.596805989193223,8.60118209887566
Rwanda,6.910494509296634,6.92724083310719,6.944117965682228,6.9612646431317255,6.978712549199566,6.996406658173046,7.014077302595791,7.031038383734758,7.046551141668529,7.059749510365758,7.069763933328774,7.075894325858496,7.077603512980002,7.074664328438137,7.067061385116258,7.0551003546683715,7.039125568563991,7.019599848985259,6.997230607433806,6.972959066475474,6.947935397656233,6.923638932623979,6.901462618585952,6.8828006825035395,6.869160690742188,6.86185287679564,6.860657706607814,6.865036894584441,6.874382609304551,6.8878134350623546,6.90438509472587,6.923140603761017,6.943176173807209,6.9637223954447
Samoa,7.883551626300125,7.897959118158505,7.912300318259978,7.926428583599738,7.940106327844505,7.953026983370699,7.964848884968816,7.97522308953346,7.983835802554632,7.990432577169563,7.99485999436273,7.9970395316968395,7.997138711271119,7.995285110754537,7.991650915682594,7.986365349614717,7.979528467012741,7.971343929706886,7.962200011727592,7.952623237209998,7.943317585241533,7.935239070305966,7.929296275510839,7.926272578856187,7.926718545363653,7.9310013499513765,7.939060495934406,7.950553842712957,7.96502175956008,7.981898498114806,8.000594027284375,8.020465598314155,8.040943306439555,8.061637207134138
Sao.Tome.and.Principe,6.96568532405264,7.002002706682583,7.038117103149367,7.073774575756849,7.108617382528884,7.141975953242199,7.172955380139169,7.2005302460941785,7.223487413436844,7.241046334051662,7.252837873305265,7.259306847737698,7.261513305114163,7.260528333637803,7.257446030698438,7.253171162681387,7.2482205347695245,7.242932248005008,7.2373764121854345,7.231383891394835,7.2248540884305505,7.217867412428671,7.210683324369711,7.203692917653638,7.19726487221249,7.191682528185769,7.18715934927306,7.183796179971457,7.181510890445851,7.1802177537987815,7.179796043768009,7.179987498513742,7.180510016651421,7.1811611592575355
